aired_at,duration,client_name,channel_name,city_name,campaign_name,brand_name,video_path,thumbnail_path
2015-12-10T08:10:42:000000Z,20.00,"Anchor Health and Beauty Care Pvt. Ltd.","Zee TV",Punjab,"Anchor Health Care","Anchor Toothpaste",http://amagicloud.s3.amazonaws.com/archive/2015-12-10/ZT/LD/84LCB6ZVFIUH_134042_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-10/ZT/LD/84LCB6ZVFIUH_134042_20.jpg
2015-12-01T15:24:32:000000Z,30.00,"Gujarat Co-Op Milk Mktg. Fed. Ltd.","Zee TV","Jammu Kashmir","Gujarat Co-Op Milk","Amul Range Of Products",http://amagicloud.s3.amazonaws.com/archive/2015-12-01/ZT/SG/XTWJ0S5MVBJP_205432_30.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-01/ZT/SG/XTWJ0S5MVBJP_205432_30.jpg
2015-12-10T07:17:27:000000Z,15.00,"Rosario Cosmetics Pvt Ltd","Zee TV",DTH,"Rosario Cosmetics","HYGIA 24H Protection",http://amagicloud.s3.amazonaws.com/archive/2015-12-10/ZT/MA/200X25KJOZOX_124727_15.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-10/ZT/MA/200X25KJOZOX_124727_15.jpg
2015-12-13T15:57:28:000000Z,15.00,"Hindustan Unilever Limited","Zee Cinema",Gujarat,"HUL_PureIt Classic","PureIt Classic ",http://amagicloud.s3.amazonaws.com/archive/2015-12-13/ZC/AM/56NQ1W203FS0_212728_15.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-13/ZC/AM/56NQ1W203FS0_212728_15.jpg
2015-12-13T07:18:15:000000Z,20.00,"FERRERO INDIA PVT. LTD.","Zee News",Maharashtra,"KJ Ei7 Suste   ","Kinder Joy",http://amagicloud.s3.amazonaws.com/archive/2015-12-13/ZN/MU/75KAJFEI4548_124815_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-13/ZN/MU/75KAJFEI4548_124815_20.jpg
2015-12-18T02:42:28:000000Z,10.00,"Technoculture Building Solutions Pvt.Ltd","Zee News",Jharkhand,"TechnoCulture_Vastu Vihar","Vastu Vihar",http://amagicloud.s3.amazonaws.com/archive/2015-12-18/ZN/RA/5S51YO15W7NH_081228_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-18/ZN/RA/5S51YO15W7NH_081228_10.jpg
2015-12-17T08:11:45:000000Z,10.00,"ESSEL Bathfittings Pvt. Ltd.","Zee News",Bangalore,"Essel Bathfittings","Essel Bathfittings",http://amagicloud.s3.amazonaws.com/archive/2015-12-17/ZN/BA/1MK39I6BOGCN_134145_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-17/ZN/BA/1MK39I6BOGCN_134145_10.jpg
2015-12-05T06:27:01:000000Z,10.00,"Muntaha Foods Pvt Ltd","Zee News",Punjab,"Muntaha Foods","Ground Fresh Masalay",http://amagicloud.s3.amazonaws.com/archive/2015-12-05/ZN/LD/4QBPDHEE2TP7_115701_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-05/ZN/LD/4QBPDHEE2TP7_115701_10.jpg
2015-12-19T17:13:05:000000Z,20.00,"FERRERO INDIA PVT. LTD.",IBN7,Maharashtra,"KJ Ei7 Suste   ","Kinder Joy",http://amagicloud.s3.amazonaws.com/archive/2015-12-19/IB/MU/75KAJFEI4548_224305_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-19/IB/MU/75KAJFEI4548_224305_20.jpg
2015-12-17T04:52:29:000000Z,10.00,"Technoculture Building Solutions Pvt.Ltd","Zee News",Bihar,"TechnoCulture_Vastu Vihar","Vastu Vihar",http://amagicloud.s3.amazonaws.com/archive/2015-12-17/ZN/PT/5S51YO32PD1J_102229_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-17/ZN/PT/5S51YO32PD1J_102229_10.jpg
2015-12-23T08:24:18:000000Z,5.00,"Payal Cables","Zee News",DTH,"Payal Cables","Payal Cables",http://amagicloud.s3.amazonaws.com/archive/2015-12-23/ZN/MA/4X27KUS4J709_135418_5.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-23/ZN/MA/4X27KUS4J709_135418_5.jpg
2015-12-21T02:19:25:000000Z,10.00,"Technoculture Building Solutions Pvt.Ltd","Zee News",Bihar,"TechnoCulture_Vastu Vihar","Vastu Vihar",http://amagicloud.s3.amazonaws.com/archive/2015-12-21/ZN/PT/5S51YO32PD1J_074925_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-21/ZN/PT/5S51YO32PD1J_074925_10.jpg
2015-12-13T08:37:57:000000Z,30.00,"Idea Cellular Limited","Zee TV",Delhi,"Idea_3G900 Launch",IDEA,http://amagicloud.s3.amazonaws.com/archive/2015-12-13/ZT/DL/8AKN9CIT95F5_140757_30.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-13/ZT/DL/8AKN9CIT95F5_140757_30.jpg
2015-12-18T11:56:07:000000Z,30.00,"Johnson And Johnson Limited","Zee Cinema","West Bengal","JNJ Baby Cream_ZC","Baby Cream",http://amagicloud.s3.amazonaws.com/archive/2015-12-18/ZC/KO/8WK30DAMLRA3_172607_30.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-18/ZC/KO/8WK30DAMLRA3_172607_30.jpg
2015-12-03T03:40:08:000000Z,30.00,"Wipro Enterprises Ltd. Consumer Care And Lighting Div","Zee Cinema",Gujarat,Wipro_HBL,"Santoor Hand and Body Lotion",http://amagicloud.s3.amazonaws.com/archive/2015-12-03/ZC/AM/122CGX9NZY60_091008_30.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-03/ZC/AM/122CGX9NZY60_091008_30.jpg
2015-12-01T08:13:21:000000Z,10.00,"India News 360",IBN7,UP,"India News 360","India News 360",http://amagicloud.s3.amazonaws.com/archive/2015-12-01/IB/KP/81CQJTQ6OLGH_134321_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-01/IB/KP/81CQJTQ6OLGH_134321_10.jpg
2015-12-02T04:56:09:000000Z,20.00,"G and G Group",IBN7,Maharashtra,"G and G Group","G and G Group",http://amagicloud.s3.amazonaws.com/archive/2015-12-02/IB/MU/48L364OYXG2L_102609_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-02/IB/MU/48L364OYXG2L_102609_20.jpg
2015-12-03T05:13:42:000000Z,20.00,"Anchor Health and Beauty Care Pvt. Ltd.","Zee News",Punjab,"Anchor Health Care","Anchor Toothpaste",http://amagicloud.s3.amazonaws.com/archive/2015-12-03/ZN/LD/77JR2BS5GO4L_104342_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-03/ZN/LD/77JR2BS5GO4L_104342_20.jpg
2015-12-06T14:54:56:000000Z,15.00,"Harsh Enterprises",IBN7,Gujarat,"Harsh Enterprises","Harsh Enterprises",http://amagicloud.s3.amazonaws.com/archive/2015-12-06/IB/AM/5YN4PU6JRHEX_202456_15.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-06/IB/AM/5YN4PU6JRHEX_202456_15.jpg
2015-12-11T09:22:17:000000Z,10.00,"Nova and Company","Zee TV","Madhya Pradesh","Nova Cream","Nova Cream",http://amagicloud.s3.amazonaws.com/archive/2015-12-11/ZT/BH/1YK6GR7IW4FB_145217_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-11/ZT/BH/1YK6GR7IW4FB_145217_10.jpg
2015-12-01T14:23:15:000000Z,20.00,"The Saraswat Cooperative Bank Ltd.","Zee News",Mumbai,"Saraswat Bank_KWIK LAP","Sarswat cooperative Bank",http://amagicloud.s3.amazonaws.com/archive/2015-12-01/ZN/MU/45CC684PZZPH_195315_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-01/ZN/MU/45CC684PZZPH_195315_20.jpg
2015-12-15T02:19:22:000000Z,10.00,"Planet Nutrition Pvt. Ltd.","Zee News",DTH,"Planet Nutrition","FB Nutrition",http://amagicloud.s3.amazonaws.com/archive/2015-12-15/ZN/MA/6CWCD35ZRHWE_074922_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-15/ZN/MA/6CWCD35ZRHWE_074922_10.jpg
2015-12-15T06:22:43:000000Z,20.00,"Padam Motors Pvt. Ltd.",IBN7,PHCHP,"Padam Motors","Padam Motors",http://amagicloud.s3.amazonaws.com/archive/2015-12-15/IB/LD/2ZKE1D8YQZSW_115243_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-15/IB/LD/2ZKE1D8YQZSW_115243_20.jpg
2015-12-10T09:26:57:000000Z,30.00,"Parle Products Pvt Ltd","Zee TV",Gujarat,"JACK2    ",KrackJack,http://amagicloud.s3.amazonaws.com/archive/2015-12-10/ZT/AM/2Q2NUUY3UNP9_145657_30.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-10/ZT/AM/2Q2NUUY3UNP9_145657_30.jpg
2015-12-20T04:06:09:000000Z,10.00,"Nova Dairy","Zee TV",MPCG,"Nova Dairy","Nova Dairy",http://amagicloud.s3.amazonaws.com/archive/2015-12-20/ZT/BH/4DNF4IALAE39_093609_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-20/ZT/BH/4DNF4IALAE39_093609_10.jpg
2015-12-03T04:55:17:000000Z,20.00,"The Saraswat Cooperative Bank Ltd.","Zee News",Mumbai,"Saraswat Bank_KWIK LAP","Sarswat cooperative Bank",http://amagicloud.s3.amazonaws.com/archive/2015-12-03/ZN/MU/707XAC2ARYPZ_102517_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-03/ZN/MU/707XAC2ARYPZ_102517_20.jpg
2015-12-02T06:09:08:000000Z,10.00,"Pfizer Limited","Zee TV",Delhi,Pfizer_Becosule,Becosule,http://amagicloud.s3.amazonaws.com/archive/2015-12-02/ZT/DL/6WBV66EHGVPJ_113908_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-02/ZT/DL/6WBV66EHGVPJ_113908_10.jpg
